"* Required Fields","* Required Fields"
"-- Please Select --","-- Please Select --"
"Account Information","Informace o účtu"
"Add New Address","Přidat novou adresu"
"Add New Attribute","Přidat nový atribut"
"Additional Address Entries","Additional Address Entries"
"Address","Address"
"Address Book","Address Book"
"Address Information","Address Information"
"Admin Checkout","Admin Checkout"
"All Themes","All Themes"
"An error occurred while deleting the customer address attribute.","An error occurred while deleting the customer address attribute."
"An error occurred while deleting the customer attribute.","An error occurred while deleting the customer attribute."
"An error occurred while deleting the form type.","An error occurred while deleting the form type."
"An error occurred while saving the customer address attribute.","An error occurred while saving the customer address attribute."
"An error occurred while saving the customer attribute.","An error occurred while saving the customer attribute."
"An error occurred while saving the form type.","An error occurred while saving the form type."
"Are you sure you want to delete this address?","Are you sure you want to delete this address?"
"Attribute Information","Informace o atributu"
"Attribute is no longer exists.","Attribute is no longer exists."
"Attribute with the same code already exists","Attribute with the same code already exists"
"Attributes","Atributy"
"Back","Back"
"Back to Login","Back to Login"
"Based On","Based On"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more."
"Cancel","Cancel"
"Change Billing Address","Change Billing Address"
"Change Password","Change Password"
"Change Shipping Address","Change Shipping Address"
"City","City"
"Comma separated","Comma separated"
"Company","Company"
"Confirm New Password","Confirm New Password"
"Confirm Password","Confirm Password"
"Contact Information","Contact Information"
"Country","Country"
"Create an Account","Create an Account"
"Current Password","Current Password"
"Customer","Customer"
"Customer Account Address","Customer Account Address"
"Customer Account Edit","Customer Account Edit"
"Customer Account Edit Form","Customer Account Edit Form"
"Customer Account Login Form","Customer Account Login Form"
"Customer Account Logout Success","Customer Account Logout Success"
"Customer Account Registration Form","Customer Account Registration Form"
"Customer Address Registration","Customer Address Registration"
"Customer Checkout Register","Customer Checkout Register"
"Customer Forgot Password Form","Customer Forgot Password Form"
"Customer My Account (All Pages)","Customer My Account (All Pages)"
"Customer My Account Address Book","Customer My Account Address Book"
"Customer My Account Address Edit Form","Customer My Account Address Edit Form"
"Customer My Account Dashboard","Customer My Account Dashboard"
"Customer Registration","Customer Registration"
"DD","DD"
"Date of Birth","Date of Birth"
"Day","Day"
"Default Addresses","Default Addresses"
"Default Billing Address","Default Billing Address"
"Default Shipping Address","Default Shipping Address"
"Default Values","Default Values"
"Delete Address","Delete Address"
"Delete Attribute","Odstranit atribut"
"Edit","Edit"
"Edit Account Information","Upravit informace o účtu"
"Edit Address","Edit Address"
"Edit Address Entry","Edit Address Entry"
"Edit Customer Address Attribute","Edit Customer Address Attribute"
"Edit Customer Address Attribute ""%s""","Edit Customer Address Attribute ""%s"""
"Edit Customer Attribute","Edit Customer Attribute"
"Edit Customer Attribute ""%s""","Edit Customer Attribute ""%s"""
"Edit Form Type ""%s""","Edit Form Type ""%s"""
"Edit Newsletters","Upravit zpravodaje"
"Email Address","Email Address"
"Fax","Fax"
"File Extensions","File Extensions"
"For Theme","For Theme"
"Forgot Your Password?","Zapomněli jste heslo?"
"Form Code","Form Code"
"Form Fields Before","Form Fields Before"
"Form Label","Form Label"
"Form Title","Form Title"
"Form Type Code","Form Type Code"
"Form Type Information","Form Type Information"
"Form type has been deleted.","Form type has been deleted."
"Forms to Use In","Forms to Use In"
