"Actions","Akce"
"An error occurred while marking notification as read.","Došlo k chybě při označování oznámení jako přečteného."
"An error occurred while marking the messages as read.","Došlo k chybě při označování zprávy jako přečtené."
"An error occurred while removing messages.","Došlo k chybě při odebírání zpráv."
"An error occurred while removing the message.","Došlo k chybě při odebírání zprávy."
"Are you sure?","Opravdu?"
"Date Added","Datum přidání"
"Last Update","Poslední aktualizace"
"Mark as Read","Označit jako přečtené"
"Mark as read","Označit jako přečtené"
"Message","Zpráva"
"Messages Inbox","Doručené zprávy"
"Notifications","Oznámení"
"Please select messages.","Prosím zvolte zprávy."
"Read Details","Přečíst podrobnosti"
"Remove","Odebrat"
"Severity","Závažnost"
"Show List","Zobrazit seznam"
"Show Toolbar","Zobrazit panel nástrojů"
"The message has been marked as read.","Zpráva byla označena jako přečtená."
"The message has been removed.","Zpráva byla odebrána."
"Total of %d record(s) have been marked as read.","Celkem %d - záznamy byly označeny jako přečtené."
"Total of %d record(s) have been removed.","Celkem %d - záznamy byly odstraněny."
"Unable to proceed. Please, try again.","Nelze pokračovat. Opakujte akci."
"Update Frequency","Četnost aktualizace"
"Use HTTPS to Get Feed","Použít HTTPS pro odběr RSS"
"Wrong message type","Špatný typ zprávy"
"critical","kritické"
"major","důležité"
"minor","normální"
"notice","poznámka"
