" The customer does not exist in the system anymore."," Zákazník v systému již neexistuje."
" [deleted]"," [smazáno]"
" and "," a "
"%s (Default Template from Locale)","%s (výchozí šablona z Národního prostředí)"
"%s cache type(s) disabled.","Počet typů mezipaměťi vypnuto: %s"
"%s cache type(s) enabled.","Počet typů mezipaměťi povoleno: %s"
"%s cache type(s) refreshed.","Počet typů mezipaměťi obnoveno: %s"
"(For Type ""Local Server"" need to use relative path to Magento install var/export or var/import, e.g. var/export, var/import, var/export/some/dir, var/import/some/dir)","(Pro typ ""Místní Server"" třeba použít relativní cestu k Magento instalaci var/export nebo var/import, napr. var/export, var/import, var/export/some/dir, var/import/some/dir)"
"(For US 2-letter state names)","(For US 2-letter state names)"
"(If left empty will be auto-generated)","(If left empty will be auto-generated)"
"(Leave empty for first spreadsheet)","(Leave empty for first spreadsheet)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)"
"(Shift-)Click or drag to change value","(Shift-)Click or drag to change value"
"(Starting with)","(Starting with)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)"
"(You have to increase php memory_limit before changing this value)","(You have to increase php memory_limit before changing this value)"
"(\\t for tab)","(\\t pro tabelátor)"
"* - If indexing is in progress, it will be killed and new indexing process will start.","* - If indexing is in progress, it will be killed and new indexing process will start."
"* Required Fields","* Povinná pole"
"- Click on any of the time parts to increase it","- Click on any of the time parts to increase it"
"- Hold mouse button on any of the above buttons for faster selection.","- Hold mouse button on any of the above buttons for faster selection."
"- Use the %s buttons to select month","- Use the %s buttons to select month"
"- Use the %s, %s buttons to select year","- Use the %s, %s buttons to select year"
"- or Shift-click to decrease it","- or Shift-click to decrease it"
"- or click and drag for faster selection.","- or click and drag for faster selection."
"-- Not Selected --","-- Not Selected --"
"-- Please Select --","– Vyberte –"
"-- Please Select Billing Agreement--","-- Please Select Billing Agreement--"
"-- Please Select a Category --","– Vyberte kategorii –"
"-- Please select --","– Vyberte –"
"--Please Select--","– Vyberte –"
"1 Hour","1 hodina"
"12 Hours","12 hodin"
"12h AM/PM","12h dopoledne/odpoledne"
"2 Hours","2 hodiny"
"24 Hours","24 hodin"
"24h","24h"
"2YTD","2 roky do dneška"
"6 Hours","6 hodin"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">Chyba 404</h1><p>Stránka nenalezena.</p>"
"<strong>%s</strong> requests access to your account","<strong>%s</strong> vyžaduje přístup k vašemu účtu"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Pozor</strong>: Captcha rozlišuje malá a velká písmena."
"A user with the same user name or email aleady exists.","Uživatel se stejným uživatelským jménem nebo e-mailem již existuje."
"API Key","API klíč"
"API Key Confirmation","Potvrzení API klíče"
"ASCII","ASCII"
"Abandoned Carts","Opuštěné košíky"
"About the calendar","O kalendáři"
"Access Denied","Přístup odepřen"
"Access denied","Přístup odepřen"
"Access denied.","Přístup odepřen."
"Account Created in:","Účet vytvořený v:"
"Account Created on (%s):","Účet vytvořen (%s):"
"Account Created on:","Účet vytvořen:"
"Account Information","Informace o účtu"
"Account Status","Stav účtu"
"Account status","Stav účtu"
"Action","Akce"
"Actions","Akce"
"Actions XML","Actions XML"
"Active","Aktivní"
"Add","Přidat"
"Add Exception","Přidat výjimku"
"Add Field Mapping","Přidat mapování polí"
"Add Field with URL:","Přidát pole s adresou URL:"
"Add New","Přidat nový"
"Add New Image","Přidat nový obrázek"
"Add New Profile","Přidat nový profil"
"Add New Role","Přidat novou roli"
"Add New Template","Přidat novou šablonu"
