"%1$s incl tax.","%1$s s DPH."
"* Required Fields","* Povinná pole"
"-- Select --","– Vyberte –"
"Add New Option","Přidat novou volbu"
"Add Selection","Přidat výběr"
"As Low as","Již od"
"As low as","Již od"
"Bundle Items","Položky balíčku"
"Bundle Product","Balíček produktů"
"Buy %1$s","Koupit %1$s"
"Buy %1$s for","Koupit %1$s za"
"Buy %1$s for %2$s","Koupit %1$s za %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Koupit %1$s za %2$s (%3$s s DPH) za každý"
"Buy %1$s for %2$s each","Koupit %1$s za %2$s každý"
"Buy %1$s with %2$s discount each","Kupte %1$s s %2$s slevou"
"Catalog Product View (Bundle)","Catalog Product View (Bundle)"
"Checkbox","Zaškrtávací políčko"
"Choose a selection...","Zvolte výběr..."
"Click for price","Klikněte pro cenu"
"Close","Zavřít‏"
"Default","Výchozí"
"Default Qty","Výchozí množství"
"Default Title","Výchozí název"
"Drop-down","Rozbalovací seznam"
"Dynamic","Dynamický"
"Excl. Tax","Bez DPH"
"Excl. Tax:","Bez DPH:"
"Fixed","Pevný"
"From","Od"
"From:","Od:"
"Gift Message","Vzkaz k dárku"
"Incl. Tax","S DPH"
"Incl. Tax:","Včetně DPH:"
"Input Type","Input Type"
"Is Required","Je vyžadován"
"Message:","Zpráva:"
"Multiple Select","Vícenásobný výběr"
"N/A","N/A"
"No options of this product are available.","Nejsou dostupné žádné možnosti tohoto produktu."
"None","Nic"
"Percent","Procenta"
"Percent Discount","Procentuální sleva"
"Please Select Products to Add","Vyberte produkty pro přidání"
"Please enter a number greater 0 in this field.","Do tohoto pole zadejte číslo větší než 0."
"Please enter search conditions to view products.","Pro zobrazení produktů zadejte vyhledávací podmínky."
"Please select options for product.","Vyberte možnosti produktu."
"Please specify product option(s).","Určete možnosti produktu."
"Position","Pozice"
"Price Range","Cenové rozpětí"
"Price Type","Typ ceny"
"Price as configured","Cena podle konfigurace"
"Qty:","Množství:"
"Radio Buttons","Přepínací tlačítka"
"Required options are not selected.","Nejsou vybrány požadované možnosti."
"SKU","SKU"
"Selected required options are not available.","Vybrané požadované možnosti nejsou k dispozici."
"Separately","Samostatně"
"Ship Bundle Items","Doručení položek balíčku"
"Shipment","Zásilka"
"Store View Title","Název pohledu obchodu"
"There is no defined renderer for ""%s"" option type.","Neexistuje žádný definovaný renderer pro možnost ""%s""."
"This product is also part of bundle(s)","Tento produkt je také součástí balíčku(ů)"
"To","Do"
"To:","Do:"
"Together","Společně"
"Total incl. Tax: %1$s","Celkem včetně DPH: %1$s"
"Use Default Value","Použít výchozí hodnotu"
"User Defined Qty","Uživatelem definované množství"
"and","a"
"each","každý"
"save","uložit"
