"%d Catalog Price Rules based on ""%s"" attribute have been disabled.","%d Catalog Price Rules based on ""%s"" attribute have been disabled."
"Actions","Akce"
"Active","Aktivní"
"Add New Rule","Přidat nové pravidlo"
"An error occurred while deleting the rule. Please review the log and try again.","An error occurred while deleting the rule. Please review the log and try again."
"An error occurred while saving the rule data. Please review the log and try again.","An error occurred while saving the rule data. Please review the log and try again."
"Apply","Použít"
"Apply Rules","Použít pravidla"
"Attribute Set","Sada atributů"
"By Fixed Amount","O pevnou částku"
"By Percentage of the Original Price","Procento původní ceny"
"Catalog","Katalog"
"Catalog Price Rule","Cenová pravidla katalogu"
"Catalog Price Rules","Cenová pravidla katalogu"
"Category","Kategorie"
"Conditions","Podmínky"
"Conditions (leave blank for all products)","Podmínky (nechte prázdné pro všechny produkty)"
"Conditions Combination","Kombinace podmínek"
"Customer Groups","Skupiny zákazníků"
"Date Expire","Datum vypršení platnosti"
"Date From","Datum od"
"Date Start","Počáteční datum"
"Date To","Datum do"
"Description","Popis"
"Discount Amount","Sleva"
"Edit Rule","Upravit pravidlo"
"Edit Rule '%s'","Upravit pravidlo '%s'"
"Enable Discount to Subproducts","Povolit slevu pro podprodukty"
"Expiration Date","Datum expirace"
"From Date","Od"
"General Information","Základní údaje"
"ID","ID"
"Inactive","Neaktivní"
"New Rule","Nové pravidlo"
"No","Ne"
"Options","Nastavení"
"Priority","Priorita"
"Product Attribute","Atribut produktu"
"Promotions","Akce"
"Rule Information","Nastavení pravidla"
"Rule Name","Název pravidla"
"Save and Apply","Uložit a použít"
"Save and Continue Edit","Uložit a pokračovat v editaci"
"Start Date","Začátek"
"Status","Stav"
"Stop Further Rules Processing","Zastavit zpracování dalších pravidel"
"The rule has been deleted.","Pravidlo bylo odstraněno."
"The rule has been saved.","Pravidlo bylo uloženo."
"The rules have been applied.","Pravidla byla použita."
"There are rules that have been changed but were not applied. Only users with exclusive access can apply rules.","There are rules that have been changed but were not applied. Only users with exclusive access can apply rules."
"There are rules that have been changed but were not applied. Please, click Apply Rules in order to see immediate effect in the catalog.","There are rules that have been changed but were not applied. Please, click Apply Rules in order to see immediate effect in the catalog."
"This rule no longer exists.","Toto pravidlo již neexistuje."
"To Date","Konec"
"To Fixed Amount","Na pevnou částku"
"To Percentage of the Original Price","To Percentage of the Original Price"
"Type","Typ"
"Unable to apply rules.","Nelze použít pravidla."
"Unable to find a rule to delete.","Nelze najít pravidlo k odstranění."
"Update Prices Using the Following Information","Update Prices Using the Following Information"
"Update product's %s %s: %s","Update product's %s %s: %s"
"Website","Webová stránka"
"Websites","Webové stránky"
"Wrong rule specified.","Wrong rule specified."
"Yes","Ano"
