"%s and greater","%s and greater"
"<strong>%d item(s)</strong> were found using the following search criteria","<strong>%d item(s)</strong> were found using the following search criteria"
"Advanced Search","Rozšířené hledání"
"Advanced Search Form","Formulář rozšířeného hledání"
"Advanced Search Result","Výsledky rozšířeného hledání"
"All","Vše"
"Applies for ""Like"" search type only.","Applies for ""Like"" search type only."
"Apply Layered Navigation if Search Results are Less Than","Apply Layered Navigation if Search Results are Less Than"
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process.","Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process."
"Autogenerated Site Map","Autogenerated Site Map"
"Catalog Advanced Search","Rozšířené hledání v katalogu"
"Catalog Search","Hledání v katalogu"
"Catalog Search Index","Catalog Search Index"
"Don't see what you're looking for?","Don't see what you're looking for?"
"Enter ""0"" to enable layered navigation for any number of results.","Enter ""0"" to enable layered navigation for any number of results."
"Go","Go"
"Go to Home Page","Na úvodní stránku"
"Grid","Mřížka"
"Home","Úvod"
"List","Seznam"
"Maximum Query Length","Maximální délka hledaného výrazu"
"Maximum Query Words Count","Maximální počet slov v hledaném výrazu"
"Maximum Search query length is %s. Your query was cut.","Maximum Search query length is %s. Your query was cut."
"Maximum words count is %1$s. In your search query was cut next part: %2$s.","Maximum words count is %1$s. In your search query was cut next part: %2$s."
"Minimal Query Length","Minimální délka hledaného výrazu"
"Minimum Search query length is %s","Minimum Search query length is %s"
"Modify your search","Upravit hledání"
"No","Ne"
"No items were found using the following search criteria.","No items were found using the following search criteria."
"Please specify at least one search term.","Zadejte alespoň jeden hledaný výraz."
"Popular Search Terms","Nejhledanější výrazy"
"Quick Search Form","Formulář rychlého hledání"
"Rebuild Catalog product fulltext search index","Rebuild Catalog product fulltext search index"
"Relevance","Význam"
"Results","Výsledky"
"Search","Hledat"
"Search Settings","Nastavení hledání"
"Search Terms","Hledané výrazy"
"Search Type","Typ hledání"
"Search entire store here...","Zde prohledejte celý obchod..."
"Search results for '%s'","Výsledky hledání pro '%s'"
"Search results for: '%s'","Výsledky hledání pro: '%s'"
"Search:","Hledat:"
"Specified date is invalid.","Bylo zadáno neplatné datum."
"Subscribe to Feed","Subscribe to Feed"
"There are no search terms available.","There are no search terms available."
"Yes","Ano"
"Your search returns no results.","Nebyly nalezeny žádné výsledky."
"up to %s","up to %s"
