"%s was added to your shopping cart.","Produkt %s byl přidán do nákupního košíku."
"%s was updated in your shopping cart.","%s byl aktualizován v nákupním košíku."
"(Excl. Tax)","(Bez DPH)"
"(Incl. Tax)","(s DPH)"
"* Required Fields","* Povinná pole"
"Add New Address","Přidat novou adresu"
"Add New Condition","Přidání nové podmínky"
"Add coupon code for shopping cart","Přidejte kód kupónu k nákupnímu košíku"
"Add gift messages to shopping cart","Přidejte dárkovou zprávu do nákupního košíku"
"Add product to shopping cart","Přidat zboží do nákupního košíku"
"Add product(s) to shopping cart","Přidat zboží do nákupního košíku"
"Add to Cart","Přidat do košíku"
"Add to Compare","Přidat k porovnání"
"Add to Wishlist","Přidat do seznamu přání"
"Additional Product Info","Další informace o zboží"
"Address","Adresa"
"Address %s of %s","Adresa %s z %s"
"After Adding a Product Redirect to Shopping Cart","Po přidání zboží jít na nákupní košík"
"Allow Guest Checkout","Povolit pokladnu bez registrace"
"Already registered?","Už jste zaregistrováni?"
"An error occurred in the process of payment","Došlo k chybě při platbě"
"An error occurred while deleting this condition.","Došlo k chybě při odstraňování této podmínky."
"An error occurred while saving this condition.","Došlo k chybě při ukládání této podmínky."
"Apply","Použít"
"Apply Coupon","Použít poukaz"
"Are you sure you want to leave this page? You will need to go through the checkout steps again.","Jste si jisti, že chcete opustit tuto stránku? Budete muset pokladnu znovu."
"Are you sure you would like to remove this item from the shopping cart?","Jste si jisti, že chcete odstranit tuto položku z košíku?"
"Back","Zpět"
"Back to Billing Information","Zpět na fakturační údaje"
"Back to Select Addresses","Zpět na výběr adresy"
"Back to Shipping Information","Zpět na informace o dopravě"
"Back to Shopping Cart","Zpět na nákupní košík"
"Based on your selection, you may be interested in the following items:","Na základě Vašeho výběru by Vás ještě mohlo zajímat:"
"Billing Address","Fakturační adresa"
"Billing Information","Informace o fakturaci"
"Billing Information - %s","Informace o fakturaci - %s"
"Can not remove the item.","Položku nelze odebrat."
"Can not save item.","Položku nelze uložit."
"Cancel","Zrušit"
"Cancel Coupon","Zrušit kupón"
"Cannot add item to the shopping cart.","Nelze přidat položku do nákupního košíku."
"Cannot add the item to shopping cart","Nelze přidat položku do nákupního košíku"
"Cannot add the item to shopping cart.","Nelze přidat položku do nákupního košíku."
"Cannot apply the coupon code.","Nelze použít kód poukazu."
"Cannot configure product.","Zboží nelze nakonfigurovat."
"Cannot open the overview page","Stránka s přehledem nelze otevřít"
"Cannot process the item.","Položka nelze zpracovat."
"Cannot remove the item.","Položku nelze odebrat."
"Cannot update shopping cart.","Nelze aktualizovat nákupní košík."
"Cannot update the item.","Položku nelze aktualizovat."
"Card Verification Number Visual Reference","Card Verification Number Visual Reference"
"Cart","Košík"
"Cart Product API","Cart Product API"
"Cart Subtotal:","Mezisoučet v košíku:"
"Change","Změnit"
"Change Billing Address","Změnit fakturační adresu"
"Checkbox Text","Checkbox Text"
"Checkout","Pokladna"
"Checkout Conditions","Checkout Conditions"
"Checkout Forms Extra","Checkout Forms Extra"
"Checkout Method","Metoda pokladny"
"Checkout Options","Checkout Options"
"Checkout Progress Wrapper","Checkout Progress Wrapper"
"Checkout Section","Sekce Pokladna"
"Checkout Terms and Conditions","Checkout Terms and Conditions"
"Checkout as Guest","Pokladna bez registrace"
"Checkout as a Guest or Register","Pokladna s registrací nebo bez"
