" or "," nebo "
"'%value%' appears to be a DNS hostname but cannot extract TLD part","'%value%' appears to be a DNS hostname but cannot extract TLD part"
"'%value%' appears to be a DNS hostname but cannot match TLD against known list","'%value%' appears to be a DNS hostname but cannot match TLD against known list"
"'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'","'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'"
"'%value%' appears to be a DNS hostname but contains a dash in an invalid position","'%value%' appears to be a DNS hostname but contains a dash in an invalid position"
"'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded","'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded"
"'%value%' appears to be a local network name but local network names are not allowed","'%value%' appears to be a local network name but local network names are not allowed"
"'%value%' appears to be an IP address, but IP addresses are not allowed","'%value%' appears to be an IP address, but IP addresses are not allowed"
"'%value%' does not appear to be a valid local network name","'%value%' does not appear to be a valid local network name"
"* Required Fields","* Povinná pole"
"ALL GROUPS","VŠECHNY SKUPINY"
"Account Dashboard","Přehled"
"Account Information","Informace o účtu"
"Account Sharing Options","Account Sharing Options"
"Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%s"">click here</a>.","Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%s"">click here</a>."
"Action","Akce"
"Add New Address","Přidat novou adresu"
"Add New Customer","Add New Customer"
"Add New Customer Group","Add New Customer Group"
"Added From","Added From"
"Additional Address Entries","Další adresy"
"Address","Adresa"
"Address Book","Adresář"
"Address Books","Adresáře"
"Address Information","Informace o adrese"
"Address Templates","Address Templates"
"Addresses","Adresy"
"Admin","Admin"
"All","Vše"
"All Store Views","Všechny pohledy obchodů"
"All countries","Všechny země"
"Always optional.","Always optional."
"Amount","Částka"
"An error occurred while deleting the address.","An error occurred while deleting the address."
"An error occurred while retrieving the option value: %s.","An error occurred while retrieving the option value: %s."
"An error occurred while saving the collection, aborting. Error: %s","An error occurred while saving the collection, aborting. Error: %s"
"An invalid option ID is specified for %s (%s), skipping the record.","An invalid option ID is specified for %s (%s), skipping the record."
"Approved","Schváleno"
"Are you sure that you want to remove this item?","Skutečně chcete tuto položku odebrat?"
"Are you sure you want to cancel adding of this address?","Are you sure you want to cancel adding of this address?"
"Are you sure you want to delete this address?","Are you sure you want to delete this address?"
"Are you sure?","Opravdu?"
"Array of Entity collections is expected.","Array of Entity collections is expected."
"Assign a Customer Group","Assign a Customer Group"
"Average Sale","Average Sale"
"Back","Zpět"
"Back - link to the previously viewed page","Back - link to the previously viewed page"
"Back to Login","Zpět na přihlášení"
"Bad request.","Chybný požadavek."
"Based on the VAT ID, the customer would belong to the Customer Group %s.","Podle DIČ (VAT ID) by měl zákazník patřit do skupiny zákazníků %s."
"Bill to Name","Bill to Name"
"Bought From","Bought From"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Pokud si v naší prodejně vytvoříte účet, budete moci rychleji nakupovat, uložit si více doručovacích adres, sledovat své objednávky a využívat další výhody."
"CSV","CSV"
"Cancel","Zrušit"
"Cannot save a new password.","Nelze uložit nové heslo."
