" Copy"," Kopírovat"
"Action","Akce"
"Add New Template","Přidat novou šablonu"
"Add to Queue","Přidat do fronty"
"Allow Guest Subscription","Povolit přihlášení ke zpravodaji pro nepřihlášené uživatele"
"An error occurred while saving your subscription.","Došlo k chybě při ukládání ke zpravodaji."
"Are you sure that you want to delete this template?","Jste si jisti, že chcete odstranit tuto šablonu?"
"Are you sure that you want to strip all tags?","Jste si jisti, že chcete odstranit všechny html značky?"
"Back","Zpět"
"Cancel","Zrušit"
"Cancelled","Zrušeno"
"Cannot mark as received subscriber.","Cannot mark as received subscriber."
"Confirmation Email Sender","Potvrzovací E-mail odesílatele"
"Confirmation Email Template","Šablona potvrzovacího e-mailu"
"Confirmation request has been sent.","Žádost o potvrzení byla odeslána."
"Convert to Plain Text","Převést na prostý text"
"Create Newsletter Template","Vytvořit šablonu zpravodaje"
"Customer","Zákazník"
"Customer First Name","Jméno zákazníka"
"Customer Last Name","Příjmení zákazníka"
"Customer My Account Newsletter Subscriptions","Customer My Account Newsletter Subscriptions"
"Date Added","Datum přidání"
"Date Updated","Datum aktualizace"
"Delete","Smazat"
"Delete Selected Problems","Odstranit vybrané problémy"
"Delete Template","Odstranit šablonu"
"Do you really want to cancel the queue?","Opravdu chcete zrušit frontu?"
"Duplicate template code.","Duplicitní kód šablony."
"Edit Newsletter","Upravit zpravodaj"
"Edit Newsletter Template","Upravit šablonu zpravodaje"
"Edit Queue","Upravit frontu"
"Edit Template","Upravit šablonu"
"Email","E-mail"
"Enter your email address","Zadejte vaši e-mailovou adresu"
"Error Code","Kód chyby"
"Error Text","Text chyby"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","Následujte tento odkaz pro zrušení odběru <! – Tato značka je pro odkaz pro zrušení odběru--> <a href=""{{var subscriber.getUnsubscriptionLink()}}""> {{var subscriber.getUnsubscriptionLink()}}</a>"
"Guest","Host"
"ID","ID"
"Invalid queue selected.","Vybrány neplatné fronty."
"Invalid subscription ID.","Invalid subscription ID."
"Invalid subscription confirmation code.","Potvrzovací kód je neplatný."
"Message","Zpráva"
"Need to Confirm","Potřeba potvrdit"
"New Newsletter Template","Nová šablona zpravodaje"
"New Template","Nová šablona"
"Newsletter","Zpravodaj"
"Newsletter Message Preview","Náhled zprávy zpravodaje"
"Newsletter Problem Reports","Přehled problémů zpravodaje"
"Newsletter Queue","Fronta zpravodaje"
"Newsletter Section","Sekce zpravodaje"
"Newsletter Sign-up:","Přihlášení ke zpravodaji:"
"Newsletter Styles","Styly zpravodaje"
"Newsletter Subscribers","Odběratelé zpravodaje"
"Newsletter Subscription","Příihlášení k odběru zpravodaje"
"Newsletter Subscription Form Before","Newsletter Subscription Form Before"
"Newsletter Subscriptions","Příihlášení k odběru zpravodaje"
"Newsletter Templates","Šablony zpravodaje"
"Newsletter subscription confirmation","Potvrzení o odběru zpravodaje"
"Newsletter subscription success","Úspěšné přihlášení k odběru zpravodaje"
"Newsletter unsubscription success","Úspěšné odhlášení odběru zpravodaje"
"No Templates Found","Nebyly nalezeny žádné šablony"
