" for more information or "," pro více informací nebo "
"# of Items (and above)","# of Items (and above)"
"# of Items vs. Destination","# of Items vs. Destination"
"Allow Shipping to Multiple Addresses","Umožnit dopravu na více adres"
"An error occurred while import table rates.","Došlo k chybě při importu tabulky sazeb."
"Calculate Handling Fee","Vypočítat  manipulační poplatek"
"Carrier:","Dopravce:"
"City","Obec"
"Close Window","Zavřít okno"
"Condition","Podmínky"
"Country","Země"
"Custom Value","Vlastní hodnota"
"Date","Datum"
"Delivered on:","Doručeno dne:"
"Delivered to:","Doručeno komu:"
"Description","Popis"
"Displayed Error Message","Zobrazená chybová zpráva"
"Divide to equal weight (one request)","Rozdělit na stejnou váhu (jedna žádost)"
"Duplicate Row #%s (Country ""%s"", Region/State ""%s"", Zip ""%s"" and Value ""%s"").","Duplicitní řádek #%s (země ""%s"", Region/stát ""%s"", ""%s"" PSČ ""%s"" a hodnota ""%s"")."
"Enabled","Zapnuto"
"Error:","Chyba:"
"Export","Export"
"File has not been imported. See the following list of errors: %s","Soubor nebyl importován. Viz následující seznam chyb: %s"
"Fixed","Pevná"
"Flat Rate","Paušální sazba"
"Free Shipping","Doprava zdarma"
"Google Sitemap Section","Sekce Google mapy webu"
"Handling Fee","Manipulační poplatek"
"Import","Import"
"Include Virtual Products in Price Calculation","Do kalkulace zahrnout virtuální produkty"
"Info:","Informace:"
"Invalid %s ""%s"" in the Row #%s.","Invalid %s ""%s"" in the Row #%s."
"Invalid Country ""%s"" in the Row #%s.","Invalid Country ""%s"" in the Row #%s."
"Invalid Region/State ""%s"" in the Row #%s.","Invalid Region/State ""%s"" in the Row #%s."
"Invalid Shipping Price ""%s"" in the Row #%s.","Invalid Shipping Price ""%s"" in the Row #%s."
"Invalid Table Rate code for type %s: %s","Invalid Table Rate code for type %s: %s"
"Invalid Table Rate code type: %s","Invalid Table Rate code type: %s"
"Invalid Table Rates File Format","Invalid Table Rates File Format"
"Invalid Table Rates format in the Row #%s","Invalid Table Rates format in the Row #%s"
"Local Time","Místní čas"
"Location","Lokalita"
"Maximum Qty Allowed for Shipping to Multiple Addresses","Maximální množství povolené pro dopravu na více adres"
"Method Name","Název metody"
"Minimum Order Amount","Minimální výše objednávky"
"N/A","N/A"
"None","Nic"
"Options","Možnosti"
"Order Subtotal (and above)","Order Subtotal (and above)"
"Origin","Origin"
"Per Order","Na objednávku"
"Per Package","Na zásilku"
"Percent","Percent"
"Price","Cena"
"Price vs. Destination","Price vs. Destination"
"Region/State","Region/State"
"Service Type:","Service Type:"
"Ship to Applicable Countries","Ship to Applicable Countries"
"Ship to Specific Countries","Ship to Specific Countries"
"Shipment #","Zásilka #"
"Shipment Tracking Popup","Shipment Tracking Popup"
"Shipped or billed on:","Shipped or billed on:"
"Shipping Methods","Způsoby dopravy"
"Shipping Methods Section","Sekce způsobů dopravy"
"Shipping Settings","Nastavení dopravy"
"Shipping Settings Section","Sekce nastavení dopravy"
"Show Method if Not Applicable","Show Method if Not Applicable"
"Signed by:","Signed by:"
"Sort Order","Sort Order"
"Status:","Stav:"
"Store Pickup","Osobní odběr"
"Street Address","Street Address"
"Street Address Line 2","Street Address Line 2"
"Table Rates","Tabulka sazeb"
"The shipping module is not available for selected delivery country.","The shipping module is not available for selected delivery country."
"The shipping module is not available.","The shipping module is not available."
"There is no tracking available for this shipment.","There is no tracking available for this shipment."
"There is no tracking available.","There is no tracking available."
"This shipping method is currently unavailable. If you would like to ship using this shipping method, please contact us.","This shipping method is currently unavailable. If you would like to ship using this shipping method, please contact us."
"This shipping method is not available, please specify ZIP-code","Tento způsob přepravy není dostupný. Zadejte své PSČ."
"Title","Název"
"Track:","Track:"
"Tracking Information","Tracking Information"
"Tracking Number:","Tracking Number:"
"Tracking information is currently not available. Please ","Tracking information is currently not available. Please "
"Tracking information is currently unavailable.","Tracking information is currently unavailable."
"Type","Typ"
"Use origin weight (few requests)","Use origin weight (few requests)"
"Weight (and above)","Weight (and above)"
"Weight vs. Destination","Hmotnost vs. místo doručení"
"Weight:","Hmotnost:"
"ZIP/Postal Code","PSČ"
"contact us","kontaktujte nás"
"email us at ","pište nám na "
