"'*' - matches any; 'xyz*' - matches any that begins on 'xyz' and not longer than %d.","'*' - matches any; 'xyz*' - matches any that begins on 'xyz' and not longer than %d."
"-- Please Select --","– Vyberte –"
"Add New Class","Přidat novou třídu"
"Add New Tax Rate","Přidat novou daňovou sazbu"
"Add New Tax Rule","Přidat nové daňové pravidlo"
"After Discount","Po slevě"
"An error occurred while deleting this rate.","Došlo k chybě při odstraňování této sazby."
"An error occurred while deleting this rate. Incorrect rate ID.","Došlo k chybě při odstraňování této sazby. Neplatné ID sazby."
"An error occurred while deleting this tax class.","Došlo k chybě při odstraňování této daňové třídy."
"An error occurred while deleting this tax rule.","Došlo k chybě při odstraňování tohoto daňového pravidla."
"An error occurred while saving this tax class.","Došlo k chybě při ukládání této daňové třídy."
"An error occurred while saving this tax class. A class with the same name","Došlo k chybě při ukládání této daňové třídy. Třída se shodným názvem"
"Apply Customer Tax","Použít daň zákazníka"
"Apply Discount On Prices","Použít slevu na ceny"
"Apply Tax On","Použít daň na"
"Apply discount on price including tax is calculated based on store tax, if ""Apply Tax after Discount"" is selected.","Apply discount on price including tax is calculated based on store tax, if ""Apply Tax after Discount"" is selected."
"Are you sure you want to do this?","Opravdu to chcete udělat?"
"Back","Zpět"
"Before Discount","Před slevou"
"CSV","CSV"
"Calculate off subtotal only","Calculate off subtotal only"
"Calculation Settings","Nastavení výpočtu"
"Catalog Prices","Ceny v katalogu"
"Class Name","Název třídy"
"Click here to go to <a href=""%s"">Tax configuration</a> and change your settings.","Click here to go to <a href=""%s"">Tax configuration</a> and change your settings."
"Code","Kód"
"Country","Země"
"Custom price if available","Custom price if available"
"Customer Tax Class","Daňová třída zákazníka"
"Customer Tax Class Information","Informace o daňové třídě zákazníka"
"Customer Tax Classes","Daňové třídy zákazníků"
"Default Country","Výchozí země"
"Default Post Code","Výchozí PSČ"
"Default State","Výchozí stát"
"Default Tax Destination Calculation","Default Tax Destination Calculation"
"Delete Class","Odstranit třídu"
"Delete Rate","Odstranit sazbu"
"Delete Rule","Odstranit pravidlo"
"Display Full Tax Summary","Zobrazit úplné daňové shrnutí"
"Display Prices","Zobrazit ceny"
"Display Product Prices In Catalog","Zobrazit ceny produktů v katalogu"
"Display Shipping Amount","Display Shipping Amount"
"Display Shipping Prices","Zobrazit ceny dopravy"
"Display Subtotal","Zobrazit mezisoučet"
"Display Zero Tax Subtotal","Zobrazit nulový mezousoučet daně"
"Edit Class","Upravit třídu"
"Edit Class '%s'","Úprava třídy '%s'"
"Edit Rule","Upravit pravidlo"
"Edit Tax Rate","Upravit daňové sazby"
"Enable Cross Border Trade","Povolit přeshraniční obchod"
"Excel XML","Excel XML"
"Excl. Tax","Bez DPH"
"Excl. Tax:","Bez DPH:"
"Excluding Tax","Bez daně"
"Export Tax Rates","Exportovat daňové sazby"
"Grand Total (Excl. Tax)","Celkem (bez DPH)"
"Grand Total (Excl.Tax)","Celkem (bez DPH)"
"Grand Total (Incl. Tax)","Celkem (s DPH)"
"Grand Total (Incl.Tax)","Celkem (s DPH)"
"Grand Total Excl. Tax","Celkem bez DPH"
"Grand Total Incl. Tax","Celkem s DPH"
