"%1$s has been updated in your wishlist.","%1$s byl(y) aktualizován(y) v seznamu přání."
"%d product(s) have been added to shopping cart: %s.","%d produkt(y) byl(y) přidán(y) do nákupního košíku: %s."
"%s for ""%s"".","%s za ""%s""."
"%s has been moved to wishlist %s","%s byl přesunut do seznamu přání %s"
"%s's Wishlist","%s - seznam přání"
"* Required Fields","* Povinná pole"
"Add All to Cart","Přidat vše do košíku"
"Add to Cart","Přidat do košíku"
"Add to Compare","Přidat k porovnání"
"Add to Wishlist","Přidat do seznamu přání"
"Added From","Přidáno z"
"An error occurred while adding item to wishlist.","Došlo k chybě při přidávání položky do seznamu přání."
"An error occurred while adding item to wishlist: %s","Došlo k chybě při přidávání položky do seznamu přání: %s"
"An error occurred while deleting the item from wishlist.","Došlo k chybě při odstraňování položky ze seznamu přání."
"An error occurred while deleting the item from wishlist: %s","Došlo k chybě při odstraňování položky ze seznamu přání: %s"
"An error occurred while updating wishlist.","Došlo k chybě při aktualizaci seznamu přání."
"Are you sure you want to remove this product from your wishlist?","Jste si jisti, že chcete odebrat tento produkt z vašeho seznamu přání?"
"Are you sure you would like to remove this item from the wishlist?","Jste si jisti, že chcete odebrat tuto položku ze seznamu přání?"
"Back","Zpět"
"Can\'t delete item from wishlist","Nelze odstranit položku ze seznamu přání"
"Can\'t save description %s","Nelze uložit popis %s"
"Can\'t update wishlist","Nelze aktualizovat seznam přání"
"Cannot add item to shopping cart","Nelze přidat položku do nákupního košíku"
"Cannot add the following product(s) to shopping cart: %s.","Nelze přidat následující produkt(y) do nákupního košíku: %s."
"Cannot add the item to shopping cart.","Nelze přidat položku do nákupního košíku."
"Cannot add the selected product to shopping cart because the product was removed from the wishlist","Nelze přidat vybraný produkt do nákupního košíku, protože výrobek byl odebrán ze seznamu přání"
"Cannot configure product","Zboží nelze nakonfigurovat"
"Cannot load wishlist item","Nelze načíst položku ze seznamu přání"
"Cannot move item to wishlist","Nelze přesunout položku do seznamu přání"
"Cannot specify product.","Cannot specify product."
"Cannot specify wishlist item.","Cannot specify wishlist item."
"Cannot specify wishlist.","Cannot specify wishlist."
"Cannot update wishlist","Cannot update wishlist"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Zaškrtněte toto políčko, pokud si přejete přidat odkaz na rss feed na vaš seznam přání."
"Click for price","Pro cenu klikněte"
"Comment","Komentář"
"Comment:","Komentář:"
"Configure Wishlist Item","Configure Wishlist Item"
"Configured Price:","Configured Price:"
"Could not find such wishlist","Could not find such wishlist"
"Could not find wishlist","Could not find wishlist"
"Customer My Account My Wishlist","Customer My Account My Wishlist"
"Customer My Account Wishlist Sharing Form","Customer My Account Wishlist Sharing Form"
"Customer Shared Wishlist View","Customer Shared Wishlist View"
"Date Added","Datum přidání"
"Days in Wishlist","Days in Wishlist"
"Display Wishlist Summary","Display Wishlist Summary"
"Edit","Upravit"
"Email Sender","E-mail odesílatele"
"Email Template","Šablona e-mailu"
"Email address can\'t be empty.","E-mailová adresa nemůže být prázdná."
"Email addresses, separated by commas","E-mailové adresy oddělené čárkou"
"Enabled","Enabled"
"General Options","General Options"
"Go to Wishlist","Přejít na seznam přání"
"Helper for wishlist options rendering doesn't implement required interface.","Helper for wishlist options rendering doesn't implement required interface."
"In stock","Skladem"
"Last Added Items","Poslední přidané položky"
"Message","Vzkaz"
"My Wishlist","Seznam přání"
"My Wishlist (%d item)","Seznam přání (položka: %d)"
"My Wishlist (%d items)","Seznam přání (položek: %d)"
"My Wishlist <small>(%d)</small>","My Wishlist <small>(%d)</small>"
"My Wishlist Link","My Wishlist Link"
"Options Details","Options Details"
"Out of stock","Není skladem"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com."
"Please input a valid email address.","Please input a valid email address."
"Please, enter your comments...","Napsat komentář..."
"Price","Cena"
"Product","Produkt"
"Product Details and Comment","Podrobnosti o produktech a komentáře"
"Product(s) %s have required options. Each of them can be added to cart separately only.","Product(s) %s have required options. Each of them can be added to cart separately only."
"Product(s) %s have required options. Each product can only be added individually.","Product(s) %s have required options. Each product can only be added individually."
"Qty","Množství"
"RSS Feed","RSS kanál"
"RSS link to %s's wishlist","RSS link to %s's wishlist"
"Remove Item","Odebrat položku"
"Remove This Item","Odebrat tuto položku"
"Remove item","Odebrat položku"
"Requested cart item doesn't exist","Requested cart item doesn't exist"
"Requested wishlist doesn't exist","Requested wishlist doesn't exist"
"SKU","SKU"
"Share Options","Možnosti odeslání"
"Share Wishlist","Poslat seznam přání"
"Share Your Wishlist","Poslat seznam přání"
"Sharing Information","Odeslání seznamu přání"
"This Wishlist has no Items","This Wishlist has no Items"
"This product(s) is currently out of stock","This product(s) is currently out of stock"
"Unable to add the following product(s) to shopping cart: %s.","Unable to add the following product(s) to shopping cart: %s."
"Update Wishlist","Aktualizovat seznam přání"
"User Description","User Description"
"View Details","Zobrazit podrobnosti"
"View Product","Zobrazit produkt"
"What's this?","Co to je?"
"Wishlist","Seznam přání"
"Wishlist Section","Wishlist Section"
"Wishlist Sharing","Odeslání seznamu přání"
"Wishlist could not be created.","Wishlist could not be created."
"Wishlist is empty now.","Seznam přání je prázdný."
"You have no items in your wishlist.","Nemáte žádné zboží v seznamu přání."
"Your Wishlist has been shared.","Váš seznam přání byl odeslán."
