"* Required Fields","* Required Fields"
"Address","Address"
"Address Information","Address Information"
"Already registered?","Already registered?"
"Back","Back"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more."
"Checking &quot;Remember Me&quot; will let you access your shopping cart on this computer when you are logged out","Checking &quot;Remember Me&quot; will let you access your shopping cart on this computer when you are logged out"
"Checkout as Guest","Checkout as Guest"
"Checkout as a Guest","Checkout as a Guest"
"Checkout as a Guest or Register","Checkout as a Guest or Register"
"City","City"
"Close","Close"
"Company","Company"
"Confirm Password","Confirm Password"
"Continue","Continue"
"Country","Country"
"Create an Account","Create an Account"
"Easy access to your order history and status","Easy access to your order history and status"
"Email Address","Email Address"
"Fast and easy check out","Fast and easy check out"
"Fax","Fax"
"Forgot Your Password?","Forgot Your Password?"
"If you have an account with us, log in using your email address.","If you have an account with us, log in using your email address."
"Loading next step...","Loading next step..."
"Login","Login"
"Login Information","Login Information"
"Login or Create an Account","Login or Create an Account"
"New Customers","New Customers"
"Password","Heslo"
"Persist Comparison History","Persist Comparison History"
"Persist Currently Compared Products","Persist Currently Compared Products"
"Persist Customer Group Membership and Segmentation","Persist Customer Group Membership and Segmentation"
"Persist Recently Ordered Items","Persist Recently Ordered Items"
"Persist Recently Viewed Products","Persist Recently Viewed Products"
"Persist Wishlist","Persist Wishlist"
"Personal Information","Personal Information"
"Please enter the following information to create your account.","Zadejte následující informace potřebné k vytvoření vašeho účtu."
"Please log in below:","Please log in below:"
"Please select region, state or province","Please select region, state or province"
"Register","Register"
"Register and save time!","Register and save time!"
"Register to Create an Account","Register to Create an Account"
"Register with us for future convenience:","Register with us for future convenience:"
"Registered Customers","Registered Customers"
"Save in address book","Save in address book"
"Select State/Province...","Vyberte stát / provincii"
"Select a billing address from your address book or enter a new address.","Select a billing address from your address book or enter a new address."
"Ship to different address","Doručit na jinou adresu"
"Ship to this address","Doručit na tuto adresu"
"Sign Up for Newsletter","Přihlásit k odběru zpravodaje"
"State/Province","Stát / provincie"
"Street Address","Street Address"
"Street Address %s","Street Address %s"
"Submit","Submit"
"Telephone","Telephone"
"VAT Number","DIČ"
"What is this?","What is this?"
"Zip/Postal Code","Zip/Postal Code"
