"--Please Select--","– Vyberte –"
"API Login ID","API Login ID"
"Accepted Currency","Akceptovaná měna"
"Amount of %s approved by payment gateway. Transaction ID: ""%s"".","Amount of %s approved by payment gateway. Transaction ID: ""%s""."
"Authorize.net Direct Post","Authorize.net Direct Post"
"Card Verification Number","Card Verification Number"
"Card Verification Number Visual Reference","Card Verification Number Visual Reference"
"Close","Zavřít‏"
"Credit Card Information","Informace o platební kartě"
"Credit Card Number","Číslo platební karty"
"Credit Card Type","Typ platební karty"
"Credit Card Types","Typy platebních karet"
"Credit Card Verification","Credit Card Verification"
"Debug","Debug"
"Email Customer","Email Customer"
"Enabled","Zapnuto"
"Expiration Date","Datum expirace"
"Gateway URL","URL brány"
"Maximum Order Total","Maximum Order Total"
"Merchant MD5","Merchant MD5"
"Merchant's Email","Merchant's Email"
"Minimum Order Total","Minimum Order Total"
"New Order Status","New Order Status"
"Order saving error: %s","Order saving error: %s"
"Payment Action","Platební akce"
"Payment authorization error.","Payment authorization error."
"Payment authorization error. Transacion id is empty.","Payment authorization error. Transacion id is empty."
"Payment error. Order was not found.","Payment error. Order was not found."
"Payment error. Paid amount doesn\'t match the order amount.","Payment error. Paid amount doesn\'t match the order amount."
"Payment from Applicable Countries","Payment from Applicable Countries"
"Payment from Specific Countries","Payment from Specific Countries"
"Please, choose payment method","Prosím zvolte způsob platby"
"Response hash validation failed. Transaction declined.","Response hash validation failed. Transaction declined."
"Sort Order","Sort Order"
"Test Mode","Testovací režim"
"The order has been created.","Objednávka byla vytvořena."
"There was an error processing your order. Please contact us or try again later.","There was an error processing your order. Please contact us or try again later."
"Title","Název"
"Transaction Key","Transaction Key"
"What is this?","What is this?"
"You will be required to enter your payment details before you place an order.","You will be required to enter your payment details before you place an order."
