"Action","Akce"
"An error occurred while creating the backup.","Došlo k chybě při vytváření zálohy."
"An error occurred while writing to the backup file ""%s"".","Došlo k chybě při zápisu do záložního souboru ""%s""."
"Are you sure you want to delete the selected backup(s)?","Jste si jisti, že chcete odstranit vybrané zálohy?"
"Backup Type","Typ zálohování"
"Backup file ""%s"" cannot be read from or written to.","Záložní soubor ""%s"" nelze číst nebo zapisovat."
"Backup file ""%s"" does not exist.","Záložní soubor ""%s"" neexistuje."
"Backup file does not exist.","Záložní soubor nebyl nalezen."
"Backup file handler was unspecified.","Nebyl uveden handler záložního souboru."
"Backup file not found","Záložní soubor nebyl nalezen"
"Backup file path was not specified.","Nebyla zadána cesta záložního souboru."
"Backups","Zálohy"
"Cannot read backup file.","Záložní soubor nelze přečíst."
"Create Backup","Vytvořit zálohu"
"Database","Databáze"
"Database Backup","Zálohovat databázi"
"Database and Media","Databáze a média"
"Database and Media Backup","Zálohovat databázi a média"
"Database was successfuly backed up.","Databáze byla úspěšně zálohována."
"Download","Stáhnout"
"Enable Scheduled Backup","Povolit plánované zálohování"
"Failed to connect to FTP","Nepodařilo se připojit k FTP"
"Failed to delete one or several backups.","Nepodařilo se smazat jednu či více záloh."
"Failed to rollback","Obnovení selhalo"
"Failed to validate FTP","Nepodařilo se ověřit FTP"
"Frequency","Frekvence"
"Invalid Password.","Neplatné heslo."
"Maintenance Mode","Režim údržby"
"Name","Název"
"Not enough free space to create backup.","Není dostatek volného místa pro vytvoření zálohy."
"Not enough permissions to create backup.","Nedostatečné oprávnění k vytvoření zálohy."
"Not enough permissions to perform rollback","Nedostatečné oprávnění k provedení obnovy"
"Please either unselect the ""Put store on the maintenance mode"" checkbox or update your permissions to proceed with the backup.""","Pro pokračování zálohování buď zrušte zaškrtnutí políčka ""Během zálohování přepnout obchod do režimu údržby"" nebo aktualizujte svá oprávnění."
"Please either unselect the ""Put store on the maintenance mode"" checkbox or update your permissions to proceed with the rollback.""","Pro pokračování obnovy buď zrušte zaškrtnutí políčka ""Během obnovy přepnout obchod do režimu údržby"" nebo aktualizujte svá oprávnění."
"Put store on the maintenance mode while backup's creation","Během zálohování přepnout obchod do režimu údržby"
"Rollback","Obnova"
"Scheduled Backup Settings","Nastavení plánovaného zálohování"
"Size, Bytes","Velikost v bajtech"
"Start Time","Čas zahájení"
"System","Systém"
"System (excluding Media)","Systém (kromě médií)"
"System Backup","Záloha systému"
"System couldn't put store on the maintenance mode","Systému se nepodařilo přepnout obchod do režimu údržby"
"The database and media backup has been created.","Byla vytvořena záloha databáze a médií."
"The database backup has been created.","Byla vytvořena záloha databáze."
"The file was compressed with Zlib, but this extension is not installed on server.","Soubor byl komprimován pomocí Zlib, ale tato knihovna není na serveru nainstalována."
"The selected backup(s) has been deleted.","Vybrané zálohy byly odstraněny."
"The system (excluding Media) backup has been created.","Byla vytvořena záloha systému (kromě médií)."
"The system backup has been created.","Byla vytvořena záloha systému."
"Time","Čas"
"Type","Typ"
"Unable to create backup. Please, try again later.","Nelze vytvořit zálohu. Zkuste to později."
"Unable to save the cron expression.","Nelze zapsat nastavení úlohy pro cron."
"Wrong order of creation for new backup.","Nesprávné pořadí vytváření nové zálohy."
"You do not have sufficient permissions to enable Maintenance Mode during this operation.","Nemáte dostatečná oprávnění pro povolení režimu údržby během této operace."
