"1.5.0.0 & later","1.5.0.0 & pozdější"
"Action","Akce"
"Add Author","Přidat autora"
"Add Contents Path","Přidat cestu obsahu"
"Add PHP Extension dependency","Přidat závislost PHP rozšíření"
"Add Package dependency","Přidat závislosti balíčku"
"Add files","Přidat soubory"
"Authors","Autoři"
"Channel","Kanál"
"Contents","Obsah"
"Create Extension Package","Vytvořit balíček rozšíření"
"Dependencies","Závislosti"
"Description","Popis"
"Edit Extension","Upravit rozšíření"
"Email","E-mail"
"Extension","Rozšíření"
"Extensions","Rozšíření"
"Failed to create the package.","Nepodařilo se vytvořit balíček."
"Failed to load the package data.","Načtení dat balíčku se nezdařilo."
"Failed to save the package.","Nepodařilo se uložit balíček."
"Files","Soubory"
"Folder","Složka"
"Ignore","Ignorovat"
"Include","Zahrnout"
"License","Licence"
"License URI","Licence URI"
"Load Local Package","Načíst lokální balíček"
"Load local Package","Načíst lokální balíček"
"Magento Connect","Magento Connect"
"Magento Connect Manager","Magento Connect Manager"
"Max","Max"
"Maximum","Maximum"
"Min","Min"
"Minimum","Minimum"
"Name","Název"
"New Extension","Nové rozšíření"
"PHP Version","Verze PHP"
"Package","Balíček"
"Package Extensions","Rozšíření balíčku"
"Package File Name","Název souboru balíčku"
"Package Info","Informace o balíčku"
"Packages","Balíčky"
"Path","Cesta"
"Pre-1.5.0.0","Pre-1.5.0.0"
"Release Info","Informace o vydání"
"Remove","Odebrat"
"Save As...","Uložit jako..."
"Save Data and Create Package","Uložit Data a vytvořit balíček"
"Save package with custom package file name","Uložit balíček s vlastním názvem souboru"
"Summary","Souhrn"
"Supported releases","Supported releases"
"System","Systém"
"Target","Cíl"
"The package %s data has been loaded.","The package %s data has been loaded."
"The package data has been saved.","The package data has been saved."
"There was a problem saving package data","There was a problem saving package data"
"Type","Typ"
"User","Uživatel"
