"-- Please select --","-- Please select --"
"Allowed Currencies","Allowed Currencies"
"Base Currency","Base Currency"
"Base currency is used for all online payment transactions. Scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"").","Base currency is used for all online payment transactions. Scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"")."
"Can\'t convert rate from ""%s-%s"".","Can\'t convert rate from ""%s-%s""."
"Cannot retrieve rate from %s.","Cannot retrieve rate from %s."
"Connection Timeout in Seconds","Connection Timeout in Seconds"
"Continue &raquo;","Continue &raquo;"
"Country","Země"
"Country API","Country API"
"Country and Format Type combination should be unique","Country and Format Type combination should be unique"
"Currency","Měna"
"Currency Options","Možnosti měny"
"Currency Setup","Nastavení měny"
"Currency Update Warnings","Currency Update Warnings"
"Default Display Currency","Výchozí zobrazovaná měna"
"Directory","Adresář"
"Display not required State","Display not required State"
"Enabled","Zapnuto"
"Error Email Recipient","Error Email Recipient"
"Error Email Sender","Error Email Sender"
"Error Email Template","Error Email Template"
"FATAL ERROR:","FATAL ERROR:"
"Frequency","Frekvence"
"Installed Currencies","Nainstalované měny"
"Invalid Import Service specified.","Invalid Import Service specified."
"Invalid country code: %s","Invalid country code: %s"
"Invalid rates received","Invalid rates received"
"Invalid target currency.","Invalid target currency."
"List of countries","Seznam zemí"
"List of regions in specified country","List of regions in specified country"
"Postal Code is Optional for the following countries","Postal Code is Optional for the following countries"
"Region","Region"
"Region API","Region API"
"Scheduled Import Settings","Scheduled Import Settings"
"Select Your Currency","Select Your Currency"
"Service","Service"
"Start Time","Start Time"
"State is required for","State is required for"
"State/Province","Stát / provincie"
"States Options","States Options"
"Strikeiron Email Update Warnings","Strikeiron Email Update Warnings"
"Unable to initialize the import model.","Unable to initialize the import model."
"Undefined rate from ""%s-%s"".","Undefined rate from ""%s-%s""."
"WARNING:","WARNING:"
"Webservicex","Webservicex"
"Your Currency","Vaše měna"
"Your Currency:","Vaše měna:"
"Your current currency is: %s","Vaše měna je: %s"
