"%s Index process is working now. Please try run this process later.","%s Index process is working now. Please try run this process later."
"%s index was rebuilt.","Index %s byl přestavěn."
"'%s' Index Process Information","'%s' Index Process Information"
"Action","Akce"
"Cannot initialize the indexer process.","Cannot initialize the indexer process."
"Change Index Mode","Změnit indexovací režim"
"Click here to go to <a href=""%s"">Cache Management</a> and refresh cache types.","Click here to go to <a href=""%s"">Cache Management</a> and refresh cache types."
"Click here to go to <a href=""%s"">Index Management</a> and rebuild required indexes.","Přejděte na <a href=""%s"">Správu indexace</a> a obnovte indexy, kde je to potřeba."
"Delete","Smazat"
"Description","Popis"
"Disable","Vypnout"
"Enable","Zapnout"
"General","Obecné"
"Index","Index"
"Index Description","Popis indexu"
"Index Management","Správa indexace"
"Index Mode","Režim indexace"
"Index Name","Název indexu"
"Index mode","Režim indexace"
"Indexer code is not defined.","Indexovací kód není definován."
"Indexer model is not defined.","Indexovací model není definován."
"Indexer model should extend Mage_Index_Model_Indexer_Abstract.","Indexovací model by měl rozšířovat Mage_Index_Model_Indexer_Abstract."
"Manual Update","Ruční aktualizace"
"Mode","Režim"
"Never","Nikdy"
"No","Ne"
"One or more of the Indexes are not up to date:","Jeden či více indexů nejsou aktuální:"
"Please select Index(es)","Vyberte indexy"
"Please select Indexes","Vyberte indexy"
"Process Information","Informace o procesu"
"Processing","Probíhá zpracování"
"Ready","V pořádku"
"Refresh","Obnovit"
"Reindex Data","Reindexovat data"
"Reindex Required","Nutná reindexace"
"Revoke","Odvolat"
"Status","Stav"
"System","Systém"
"The index has been saved.","Index byl uložen."
"There was a problem with reindexing process.","Došlo k potížím při reindexování."
"There was a problem with saving process.","Došlo k potížím při ukládání."
"Total of %d index(es) have changed index mode.","Indexovací režim byl úspěšně změněn (počet změněných indexů: %d)."
"Total of %d index(es) have reindexed data.","Reindexce proběhla úspěšně (počet změněných indexů: %d)."
"Update Required","Nutná aktualizace"
"Update on Save","Aktualizace při uložení"
"Updated At","Aktualizováno"
"Yes","Ano"
