"1 star","1 hvězdička"
"2 stars","2 hvězdičky"
"3 stars","3 hvězdičky"
"4 stars","4 hvězdičky"
"5 stars","5 hvězdiček"
"Add New Rating","Přidat nové hodnocení"
"Assigned Options","Přiřazené možnosti"
"Be the first to review this product","Napište první recenzi tohoto produktu"
"Default Value","Výchozí hodnota"
"Delete Rating","Odstranit hodnocení"
"Edit Rating","Upravit hodnocení"
"ID","ID"
"If you do not specify a rating title for a store, the default value will be used.","Pokud nezadáte název hodnocení, bude použita výchozí hodnota."
"Manage Ratings","Správa hodnocení"
"New Rating","Nové hodnocení"
"Option Label","Option Label"
"Option Title","Option Title"
"Option Title:","Option Title:"
"Please select one of each ratings above","Please select one of each ratings above"
"Rating Information","Rating Information"
"Rating Name","Název hodnocení"
"Rating Options","Rating Options"
"Rating Title","Název hodnocení"
"Rating Visibility","Viditelnost hodnocení"
"Rating isn't Available","Hodnocení není k dispozici"
"Rating with the same title","Hodnocení se stejným názvem"
"Save Rating","Uložit hodnocení"
"Sort Order","Řadit podle"
"Visible In","Viditelné v"
