"Abandoned Carts","Opuštěné košíky"
"Abandoned carts","Opuštěné košíky"
"Action","Akce"
"Add to Cart","Přidat do košíku"
"Add to Compare","Přidat k porovnání"
"Add to Wishlist","Přidat do seznamu přání"
"Any","Jakýkoli"
"Applied Coupon","Applied Coupon"
"Applies to Any of the Specified Order Statuses","Applies to Any of the Specified Order Statuses"
"Are you sure you want to refresh lifetime statistics? There can be performance impact during this operation.","Are you sure you want to refresh lifetime statistics? There can be performance impact during this operation."
"Are you sure?","Opravdu?"
"Avg. Approved Rating","Avg. Approved Rating"
"Avg. Rating","Průměrné hodnocení"
"Bestsellers","Nejprodávanější"
"Bought from wishlists","Koupeno ze seznamu přání"
"CSV","CSV"
"Carts","Košíky"
"Catalog Category (Without Subcategories)","Catalog Category (Without Subcategories)"
"Compared Products Grid Template","Compared Products Grid Template"
"Compared Products List Template","Compared Products List Template"
"Coupons","Kupóny"
"Coupons Usage Report","Coupons Usage Report"
"Created At","Created At"
"Current Month Starts","Current Month Starts"
"Customer","Zákazník"
"Customer Name","Jméno zákazníka"
"Customer Tags","Customer Tags"
"Customers","Zákazníci"
"Customers Report","Customers Report"
"Customers Reviews","Customers Reviews"
"Customers Tags","Customers Tags"
"Customers by Number of Orders","Customers by Number of Orders"
"Customers by Orders Total","Customers by Orders Total"
"Customers by number of orders","Customers by number of orders"
"Customers by orders total","Customers by orders total"
"Customers that have wishlist: %s%","Customers that have wishlist: %s%"
"Dashboard","Dashboard"
"Day","Den"
"Default Recently Compared Products Count","Default Recently Compared Products Count"
"Default Recently Viewed Products Count","Default Recently Viewed Products Count"
"Description","Description"
"Detail","Detail"
"Downloads","Soubory ke stažení"
"Email","E-mail"
"Empty Rows","Empty Rows"
"Excel XML","Excel XML"
"Filter","Filtr"
"First Name","Jméno"
"From","Od"
"Guest","Host"
"Hits","Hits"
"ID","ID"
"IP Address","IP adresa"
"Index model name must be defined","Index model name must be defined"
"Invalid date specified.","Invalid date specified."
"Invoiced","Fakturováno"
"Items in Cart","Items in Cart"
"Last Name","Příjmení"
"Last Review","Poslední recenze"
"Link","Odkaz"
"List of Products Recently Compared and Removed from the Compare List by Visitor","List of Products Recently Compared and Removed from the Compare List by Visitor"
"List of Products Recently Viewed by Visitor","List of Products Recently Viewed by Visitor"
"Low Stock","Low Stock"
"Low stock","Low stock"
"Match Period To","Match Period To"
"Month","Měsíc"
"Most Viewed","Nejčastěji prohlížené"
"Name","Jméno"
"New Accounts","Nové účty"
"No","Ne"
"Number Added","Number Added"
"Number Fulfilled","Number Fulfilled"
"Number Of Reviews","Number Of Reviews"
"Number Purchased","Number Purchased"
"Number Viewed","Number Viewed"
"Number of Items","Number of Items"
"Number of New Accounts","Number of New Accounts"
"Number of Products to display","Number of Products to display"
"Number of Reviews","Number of Reviews"
"Number of Times Deleted","Number of Times Deleted"
"Number of Total Tags","Celkový počet štítků"
"Number of Unique Tags","Počet unikátních štítků"
"Number of Views","Number of Views"
"Number of items bought from a wishlist: %s","Number of items bought from a wishlist: %s"
"Number of times wishlists have been shared (emailed): %s","Number of times wishlists have been shared (emailed): %s"
"Number of wishlist conversions: %s","Number of wishlist conversions: %s"
"Number of wishlist referrals: %s","Number of wishlist referrals: %s"
"Number of wishlists: %s","Number of wishlists: %s"
"Order Status","Stav objednávky"
"Order Taxes Report Grouped by Tax Rate","Order Taxes Report Grouped by Tax Rate"
"Orders","Objednávky"
"Out of stock","Není skladem"
"Period","Období"
"Poducts Report","Poducts Report"
"Popular Tags","Oblíbené štítky"
"Popularity","Popularita"
"Price","Cena"
"Product Name","Název produktu"
"Product Reviews","Recenze produktů"
"Product SKU","SKU produktu"
"Product Tags","Štítky produktu"
"Products","Produkty"
"Products Ordered","Objednané produkty"
"Products Report","Products Report"
"Products Reviews","Products Reviews"
"Products Tags","Štítky produktů"
"Products in carts","Products in carts"
"Purchases","Nákupy"
"Quantity Ordered","Quantity Ordered"
"Quantity of Items","Quantity of Items"
"Recently Compared","Recently Compared"
"Recently Compared Products","Recently Compared Products"
"Recently Viewed","Recently Viewed"
"Recently Viewed Products","Recently Viewed Products"
"Recently Viewed/Compared Products","Recently Viewed/Compared Products"
"Refresh Lifetime Statistics","Refresh Lifetime Statistics"
"Refresh Statistics","Refresh Statistics"
"Refresh Statistics for the Last Day","Refresh Statistics for the Last Day"
"Refunds","Refunds"
"Report","Report"
"Reports","Reporty"
"Results","Výsledky"
"Revenue","Příjmy"
"Review","Review"
"Reviews","Reviews"
"Reviews for %s","Reviews for %s"
"Sales","Sales"
"Sales Report","Sales Report"
"Search Query","Search Query"
"Search Terms","Search Terms"
"Select day of the month.","Select day of the month."
"Shipping","Shipping"
"Shopping Cart","Shopping Cart"
"Shopping Cart Price Rule","Cenové pravidlo košíku"
"Show Actual Values","Show Actual Values"
"Show Report","Show Report"
"Show for Current","Show for Current"
"Specified","Specified"
"Statistics","Statistiky"
"Stock Qty","Stock Qty"
"Submitted In","Submitted In"
"Submitted On","Submitted On"
"Subtotal","Mezisoučet"
"Tag","Štítek"
"Tag ""%s"" details","Tag ""%s"" details"
"Tag Detail","Detail štítku"
"Tag Name","Název štítku"
"Tag Use","Použití štítku"
"Tags Submitted by %s","Tags Submitted by %s"
"Tags submitted to %s","Tags submitted to %s"
"Tax","Daň"
"Title","Název"
"To","To"
"Total","Celkem"
"Total Invoiced vs. Paid Report","Total Invoiced vs. Paid Report"
"Total Ordered Report","Total Ordered Report"
"Total Refunded Report","Total Refunded Report"
"Total Shipped Report","Total Shipped Report"
"Total Tags","Celkem štítků"
"Total invoiced","Total invoiced"
"Total refunded","Total refunded"
"Updated At","Updated At"
"Viewed Products Grid Template","Viewed Products Grid Template"
"Viewed Products List Template","Viewed Products List Template"
"Visible In","Visible In"
"Wishlist Report","Wishlist Report"
"Wishlist vs. Regular Order","Wishlist vs. Regular Order"
"Wishlists","Wishlists"
"Year","Rok"
"Year-To-Date Starts","Year-To-Date Starts"
"Yes","Ano"
"Your Recently Compared","Nedávno jste porovnávali"
"Your Recently Viewed","Your Recently Viewed"
"undefined","nedefinováno"
