"%d Review(s)","%d Review(s)"
"%s Review(s)","%s Review(s)"
"(Posted on %s)","(Posted on %s)"
"1 star","1 hvězdička"
"2 star","2 hvězdičky"
"2 stars","2 hvězdičky"
"3 star","3 hvězdičky"
"3 stars","3 hvězdičky"
"4 star","4 hvězdičky"
"4 stars","4 hvězdičky"
"5 star","5 hvězdiček"
"5 stars","5 hvězdiček"
"<a href=""%1$s"" onclick=""this.target=\'blank\'"">%2$s %3$s</a> <a href=""mailto:%4$s"">(%4$s)</a>","<a href=""%1$s"" onclick=""this.target=\'blank\'"">%2$s %3$s</a> <a href=""mailto:%4$s"">(%4$s)</a>"
"Add New Review","Přidat novou recenzi"
"Add Your Review","Přidat svojí recenzi"
"Administrator","Správce"
"All Reviews","Všechny recenze"
"All Reviews of Customer `%s`","All Reviews of Customer `%s`"
"All Reviews of Product `%s`","All Reviews of Product `%s`"
"Allow Guests to Write Reviews","Umožnit návštěvníkům psát recenze"
"Approved","Schváleno"
"Are you sure you want to do this?","Are you sure you want to do this?"
"Are you sure?","Are you sure?"
"Average Customer Rating","Average Customer Rating"
"Average Customer Rating:","Average Customer Rating:"
"Back","Zpět"
"Back to Main Product Info","Back to Main Product Info"
"Back to My Reviews","Back to My Reviews"
"Back to Product Reviews","Back to Product Reviews"
"Be the first to review this product","Be the first to review this product"
"Catalog Product Review View","Catalog Product Review View"
"Catalog Product Reviews List","Catalog Product Reviews List"
"Created On","Vytvořeno"
"Customer","Zákazník"
"Customer My Account Product Reviews","Customer My Account Product Reviews"
"Customer My Account Review Details","Customer My Account Review Details"
"Customer Reviews","Recenze zákazníka"
"Customers Reviews","Recenze zákazníků"
"Delete","Smazat"
"Delete Review","Odstranit recenzi"
"Detailed Rating","Podrobné hodnocení"
"Edit Review '%s'","Edit Review '%s'"
"Guest","Host"
"How do you rate this product?","How do you rate this product?"
"ID","ID"
"Let us know your thoughts","Let us know your thoughts"
"Manage Ratings","Správa hodnocení"
"My Product Reviews","My Product Reviews"
"My Recent Reviews","Mé nedávné recenze"
"Name","Name"
"Name in Store","Name in Store"
"New Review","New Review"
"Nickname","Přezdívka"
"Nickname can\'t be empty","Nickname can\'t be empty"
"Not Approved","Not Approved"
"Only registered users can write reviews. Please, <a href=""%s"">log in</a> or <a href=""%s"">register</a>","Only registered users can write reviews. Please, <a href=""%s"">log in</a> or <a href=""%s"">register</a>"
"Pending","Čeká na vyřízení"
"Pending Reviews","Pending Reviews"
"Pending Reviews of Customer `%s`","Pending Reviews of Customer `%s`"
"Please select a product","Please select a product"
"Please select one of each of the ratings above","Please select one of each of the ratings above"
"Posted By","Posted By"
"Price","Cena"
"Product","Produkt"
"Product Name","Název produktu"
"Product Rating","Hodnocení produktu"
"Product Rating:","Hodnocení produktu:"
"Product Review (submitted on %s):","Product Review (submitted on %s):"
"Product Reviews","Recenze produktů"
"Product SKU","Product SKU"
"Products Reviews","Recenze produktů"
"Qty","Množství"
"Rating:","Hodnocení:"
"Review","Recenze"
"Review (submitted on %s):","Review (submitted on %s):"
"Review Details","Podrobnosti recenze"
"Review Form Fields Before","Review Form Fields Before"
"Review by %s","Review by %s"
"Review by <span>%s</span>","Review by <span>%s</span>"
"Review can\'t be empty","Review can\'t be empty"
"Review summary can\'t be empty","Review summary can\'t be empty"
"Reviews","Recenze"
"Reviews and Ratings","Recenze a hodnocení"
"SKU","SKU"
"Save Review","Uložit recenzi"
"Status","Stav"
"Submit Review","Odeslat recenzi"
"Summary Rating","Souhrnné hodnocení"
"Summary of Review","Summary of Review"
"Summary of Your Review","Summary of Your Review"
"Title","Název"
"Type","Typ"
"Unable to post the review.","Unable to post the review."
"Update Status","Aktualizovat stav"
"View All Reviews","View All Reviews"
"View Details","View Details"
"Visible In","Viditelné v"
"Websites","Webové stránky"
"What's your nickname?","Jaká je vaše přezdívka?"
"Write Your Own Review","Napsat svojí recenzi"
"You have submitted no reviews.","Neodeslali jste žádné recenze."
"You're reviewing:","You're reviewing:"
"Your Rating:","Vaše hodnocení:"
"Your Review (submitted on %s):","Your Review (submitted on %s):"
"Your review has been accepted for moderation.","Your review has been accepted for moderation."
