"%d Shopping Cart Price Rules based on ""%s"" attribute have been disabled.","%d Shopping Cart Price Rules based on ""%s"" attribute have been disabled."
"%s Coupon(s) have been generated","%s Coupon(s) have been generated"
"Actions","Akce"
"Active","Aktivní"
"Add New Rule","Přidat nové pravidlo"
"Alphabetical","Alphabetical"
"Alphanumeric","Alphanumeric"
"An error occurred while generating coupons. Please review the log and try again.","An error occurred while generating coupons. Please review the log and try again."
"Apply","Použít"
"Apply To","Platí pro"
"Apply the rule only if the following conditions are met (leave blank for all products)","Nastavení podmínek (pro platnost na všechny produkty filtr nenastavujte)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Apply the rule only to cart items matching the following conditions (leave blank for all items)"
"Apply the rule to cart items matching the following conditions","Apply the rule to cart items matching the following conditions"
"Apply to Shipping Amount","Apply to Shipping Amount"
"Are you sure you want to delete the selected coupon(s)?","Are you sure you want to delete the selected coupon(s)?"
"Auto","Automaticky"
"Auto Generated Specific Coupon Codes","Auto Generated Specific Coupon Codes"
"Buy X get Y free (discount amount is Y)","Buy X get Y free (discount amount is Y)"
"By Fixed value","By Fixed value"
"By Percentage","By Percentage"
"Can\'t acquire coupon.","Can\'t acquire coupon."
"Cart Attribute","Cart Attribute"
"Catalog","Katalog"
"Code Format","Code Format"
"Code Length","Code Length"
"Code Prefix","Code Prefix"
"Code Suffix","Code Suffix"
"Conditions","Podmínky"
"Conditions combination","Kombinace podmínek"
"Coupon","Kupón"
"Coupon Code","Slevový kód"
"Coupon Qty","Coupon Qty"
"Coupon with the same code","Coupon with the same code"
"Coupons Information","Coupons Information"
"Created On","Vytvořeno"
"Customer Groups","Skupiny zákazníků"
"Dash Every X Characters","Dash Every X Characters"
"Date Expire","Datum expirace"
"Date Start","Počáteční datum"
"Default Label","Default Label"
"Default Rule Label for All Store Views","Default Rule Label for All Store Views"
"Description","Popis"
"Discount Amount","Výše slevy"
"Discount Qty Step (Buy X)","Discount Qty Step (Buy X)"
"Edit Rule","Upravit pravidlo"
"Edit Rule '%s'","Upravit pravidlo ""%s"""
"Excluding prefix, suffix and separators.","Excluding prefix, suffix and separators."
"FOUND","FOUND"
"Fixed amount discount","Fixed amount discount"
"Fixed amount discount for whole cart","Fixed amount discount for whole cart"
"For matching items only","For matching items only"
"For shipment with matching items","For shipment with matching items"
"Free Shipping","Free Shipping"
"From Date","From Date"
"General Information","General Information"
"Generate","Generate"
"ID","ID"
"If %s %s %s for a subselection of items in cart matching %s of these conditions:","If %s %s %s for a subselection of items in cart matching %s of these conditions:"
"If an item is %s in the cart with %s of these conditions true:","If an item is %s in the cart with %s of these conditions true:"
"If empty no separation.","If empty no separation."
"If you select and save the rule you will be able to generate multiple coupon codes.","If you select and save the rule you will be able to generate multiple coupon codes."
"Inactive","Inactive"
"Item totals are not set for rule.","Item totals are not set for rule."
"Labels","Štítky"
"Manage Coupon Codes","Manage Coupon Codes"
"Maximum Qty Discount is Applied To","Maximum Qty Discount is Applied To"
"NOT FOUND","NOT FOUND"
"NOT LOGGED IN","NEPŘIHLÁŠEN"
"New Rule","Nové pravidlo"
"No","Ne"
"No Coupon","Žádný kupón"
"Not valid data provided","Not valid data provided"
"Number of Uses","Počet použití"
"Numeric","Numeric"
"Payment Method","Payment Method"
"Percent of product price discount","Percent of product price discount"
"Period","Období"
"Price in cart","Cena v košíku"
"Priority","Priorita"
"Product attribute combination","Kombinace atributů produktu"
"Products subselection","Products subselection"
"Promotions","Akce"
"Public In RSS Feed","Public In RSS Feed"
"Quantity in cart","Quantity in cart"
"Row total in cart","Row total in cart"
"Rule Information","Nastavení pravidla"
"Rule Name","Název pravidla"
"Rule is not defined","Pravidlo není definováno"
"Sales Discount Amount","Sales Discount Amount"
"Sales Subtotal Amount","Sales Subtotal Amount"
"Sales Total Amount","Sales Total Amount"
"Save and Continue Edit","Uložit a pokračovat v editaci"
"Shipping Country","Země doručení"
"Shipping Method","Způsob dopravy"
"Shipping Postcode","PSČ doručení"
"Shipping Region","Region doručení"
"Shipping State/Province","Shipping State/Province"
"Shopping Cart Price Rule","Cenové pravidlo košíku"
"Shopping Cart Price Rules","Cenová pravidla košíku"
"Special Price","Akční cena"
"Specific Coupon","Určitý kupón"
"Status","Stav"
"Stop Further Rules Processing","Stop Further Rules Processing"
"Store View Specific Labels","Store View Specific Labels"
"Subtotal","Mezisoučet"
"Subtotal Amount","Celková částka"
"The rule has been deleted.","The rule has been deleted."
"The rule has been saved.","The rule has been saved."
"This rule no longer exists.","This rule no longer exists."
"Times Used","Kolikrát použito"
"To Date","Do"
"To Fixed Value","To Fixed Value"
"To Percentage","To Percentage"
"Total","Celkem"
"Total Amount","Total Amount"
"Total Items Quantity","Total Items Quantity"
"Total Weight","Celková hmotnost"
"Unable to create requested Coupon Qty. Please check settings and try again.","Unable to create requested Coupon Qty. Please check settings and try again."
"Unable to find a rule to delete.","Unable to find a rule to delete."
"Update prices using the following information","Update prices using the following information"
"Update product's %s %s: %s","Update product's %s %s: %s"
"Update the Product","Update the Product"
"Usage limit enforced for logged in customers only","Usage limit enforced for logged in customers only"
"Use Auto Generation","Use Auto Generation"
"Used","Použito"
"Uses per Coupon","Uses per Coupon"
"Uses per Customer","Uses per Customer"
"Website","Webová stránka"
"Websites","Webové stránky"
"Wrong rule specified.","Wrong rule specified."
"Yes","Ano"
"total amount","total amount"
"total quantity","total quantity"
